Title,Responsibility,Associated Places,Publication,Manufacture,Distribution,Date,Approximate Date,Copyright,Edition/Imprint,Pagination,Height,Width,Denomination,Notation,Language,Content,1850-1925,After 1925,Before 1850,Broadside,Confederate Imprint,Convention Gospel,Denominational Publication,Dispersed Harmony,Distributor in South,Ethnographic,Female Author/Publisher,Fraternal Society,Gospel,Liturgical/Devotional Content,Missionary Use,Native Use,Non-White,Occasional,Out-of-Country Publisher,Out-of-Region Publisher,Revival Use,Scientific Music,Singing School Use,Still in Use,Sheet Music,Spirituals,Sunday School Use,Tract Society Publication,Attestations,Source for Record,Emory Holdings,MTSU Holdings,SBTS Holdings,UK Holdings,Notes
Notes and questions for the oral instruction of colored people,"Winkler, E. T.; Tupper, James","Charleston, SC",Southern Baptist Publication Society,,,1857,,,,134,15,,Baptist (SBC),Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,SBTS; Wake Forest University; Howard University,OCLC,,,Y,,Unclear if this ed. included the hymns found in later eds.
"Nusdv unohiyusu ale danadeyohvsgu : asdaya anineisdisgi tsunanelodi, uganawviditlv",?,"Tahlequah, OK/IT",?,,,1892,,,,48,23,,,Nil,Cherokee,Sacred,Y,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,University of Tulsa; Yale University Library,OCLC,,,,,
Ode for September 7th,?,"Salem, NC?",Moravian Church?,,,1855,,,,4,19,,Moravian,Nil,German; English,Sacred,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,University of North Carolina at Chapel Hill,OCLC,,,,,
Order of service appointed for laying the corner-stone of the temple Congregation Beth Ahabah in the city of Richmond,"Calisch, Edward N.","Richmond, VA?",Baptist & Pincot,,,1904,Y,,,15,21,,Jewish (Reform),Nil,English,Sacred,Y,,,,,,,,,,,Y,,,,,Y,Y,,,,,,,,,,,Virginia Historical Society; Library of Virginia,OCLC,,,,,Includes hymns
"Oremus : ein Gebet- und Gesangbuch zusammengestellt für die Mitglieder der St. Antonius-Gemeinde zu St. Louis, Mo.","Richardt, Odo","St. Louis, MO",F. C. Bopp,,,1911,,,,244,13,,Catholic (Roman rite),Nil,German,Sacred,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,Wartburg Theological Seminary; Northern State University,OCLC,,,,,
Original anti-slavery songs,"Simpson, Joshua McCarter","Zanesville, OH",?,For the author,,1852,,,,32,15,,,Nil,English,Mixed,Y,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,Ohio State University; Oberlin College,OCLC,,,,,
"Outlines of Sunday-school lectures, with reference to hymns in the Sunday-school hymn-book of the Methodist Episcopal church, South; and an introductory essay on composition and delivery","Summers, Thomas O.","Richmond, VA; Louisville, KY","Methodist Episcopal Church, South",John Early,,1854,,,,126,?,,"Methodist (MEC,S)",Nil,English,Sacred,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,Y,,Emory and Henry College,OCLC,,,,,
"Outlines of Sunday-school lectures, with reference to hymns in the Sunday-school hymn-book of the Methodist Episcopal church, South; and an introductory essay on composition and delivery","Summers, Thomas O.","Nashville, TN","Methodist Episcopal Church, South",E. Stevenson & F. A. Owens,,1855,,,,"126, 2",15,,"Methodist (MEC,S)",Nil,English,Sacred,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,Y,,Drew University; Southwestern University,OCLC,,,,,
"Outlines of Sunday-school lectures, with reference to hymns in the Sunday-school hymn-book of the Methodist Episcopal church, South; and an introductory essay on composition and delivery","Summers, Thomas O.","Nashville, TN","M. E. Church, South",A. H. Redford,,1873,,,,123,16,,"Methodist (MEC,S)",Nil,English,Sacred,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,Y,,Southern Methodist University,OCLC,,,,,
"Outlines of Sunday-school lectures, with reference to hymns in the Sunday-school hymn-book of the Methodist Episcopal church, South; and an introductory essay on composition and delivery","Summers, Thomas O.","Nashville, TN",Southern Methodist Pub. House,John Early,,1886,,,,123,16,,"Methodist (MEC,S)",Nil,English,Sacred,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,Y,,University of Tennessee; Tennessee State Library & Archives; Henderson State University; Southern Methodist University,OCLC,,,,,
"Outlines of Sunday-school lectures, with reference to hymns in the Sunday-school hymn-book of the Methodist Episcopal church, South; and an introductory essay on composition and delivery","Summers, Thomas O.","Nashville, TN","Pub. House of the M. E. Church, South",,Barbee and Smith,1891,,,,123,15,,"Methodist (MEC,S)",Nil,English,Sacred,Y,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,Y,,Vanderbilt University,OCLC,,,,,
"Pequeña coleccion de himnos : escogidos y adpatos con especialidad a las reuniones de las Ligas Epworth, sociedades de esfuerzo cristiano, oración y de avivamiento","Grado, Pedro","El Paso, TX",El Paso Printing Co.,,,1908,,,6th ed.,94,15,,Methodist?,Nil,Spanish,Sacred,Y,,,,,,,,,,,,,,,,Y?,,,,,,,,,,,,Claremont School of Theology,OCLC,,,,,
Plantation melodies,"Crawford, D. D.",?,?,,,189?,Y,,,23,19,,,Nil,English,Sacred,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,,University of Missouri-Kansas City; Atlanta University Center,OCLC,Y,,,,Purportedly a copy in Woodruff
Poems,"M'Clellan, George Marion","Nashville, TN",For the author,"Pub. House, A.M.E. Church Sunday School Union",,1895,,,,145,20,,Methodist (AME),Nil,English,Sacred,Y,,,,,,Y?,,,,,,,Y?,,,Y,,,,,,,,,,,,Emory,Emory,Y,,,,Not certain how much is hymns vs. non-sung poems
Praise God I am satisfied,"Robinson, L.","Houston, TX?",?,,,191?,Y,,,1,22,15,,Nil,English,Sacred,Y,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,Emory,Emory,Y,,,,
"Prayer meeting hymn book, The : a selection of standard evangelical hymns for prayer and conference meetings, revivals, and family and private devotion.","Crane, William",Baltimore,J. F.  Weishampel,,,1858,,,,250,12,,,Nil,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,SBTS,SBTS,,,Y,,
"Primitive hymns, spiritual songs, and sacred poems, The : regularly selected, classified and set in order, and adapted to social singing and all occasions of divine worship","Lloyd, Benjamin","Temple, TX",Mrs. M. E. Atkins,,,1900,,,Stereotype ed.,554,15,,Baptist (Primitive),Nil,English,Sacred,Y,,,,,,Y,,,,Y,,,,,,,,,,,,,Y,,,,,Emory,Emory,Y,,,,
"Primitive hymns, spiritual songs, and sacred poems, The : regularly selected, classified and set in order, and adapted to social singing and all occasions of divine worship","Lloyd, Benjamin","Temple, TX",Mrs. M. E. Atkins,,,1906,,,Stereotype ed.,554,15,,Baptist (Primitive),Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,Emory,Emory,Y,,,,
"Primitive hymns, spiritual songs, and sacred poems, The : regularly selected, classified and set in order, and adapted to social singing and all occasions of divine worship","Lloyd, Benjamin","La Mesa, CA",Opal Lloyd Terry and La Verte Lloyd Smith,,,1906,,,,558,15,,Baptist (Primitive),Nil,English,Sacred,Y,,,,,,,,,,Y,,,,,,,,,Y,,,,Y,,,,,Emory,Emory,Y,,,,
"Prison hymn-book : for more especial use of prisons, penitentiaries, houses of refuge, etc., etc.","Smith, J. Byington","New York, NY",N. Tibbals,,,1867,,,,328,18,,,Nil,English,Sacred,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,Emory,Emory,Y,,,,
"Psalms and hymns : adapted to social, private, and public worship in the Cumberland Presbyterian Church",?,"Nashville, TN",Cumberland Presbyterian Pub. House,,,1858,Y,,,779,14,,Presbyterian (Cumberland),Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
"Psalms and hymns adapted to social, private, and public worship in the Cumberland Presbyterian Church, authorized by the General Assembly at her session in Huntsville, Alabama, A.D. 1858",?,"Huntsville, AL; Nashville, TN",Committee of Publication,,,1859,,,,779,14,,Presbyterian (Cumberland),Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
"Psalms and hymns and spiritual songs : compiled for the use of Universalist churches, associations, and social meetings","Nye, H. R.","Cincinnati, OH",Nye & Demarest,,,1861,,,,192,14,,Universalist,Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
Psalms and hymns for the St. Mary Street Colored Mission Sabbath School,?,"Philadelphia, PA",?,"J. B. Rodgers, printer",,1865,,,,74,22,,,Nil,English,Sacred,Y,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,Y?,,Temple University; Pennsylvania State University,OCLC,,,,,Copies differ in size
Psalms and hymns for the worship of God,?,"Memphis, TN; Richmond, VA",Presbyterian Committee of Publication,,,1867,,,,696,21,,Presbyterian (PCUS),Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,SBTS; MTSU?,SBTS,,Y,Y,,With supplement
"Psalms and hymns for the worship of God, approved by the General Assembly of the Presbyterian Church in the United States, at its meeting in Memphis, Tennessee, November, 1866",?,"Memphis, TN; Richmond, VA",Presbyterian Committee of Publication,,,1867,,,,696,14,,Presbyterian (PCUS),Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,"Includes ""Supplement to the book of psalms and hymns"""
"Psalms and hymns for the worship of God, approved by the General Assembly of the Presbyterian Church in the United States, at its meeting in Memphis, Tennessee, November, 1866",?,"Memphis, TN; Richmond, VA",Presbyterian Committee of Publication,,,1867,,,,624,14,,Presbyterian (PCUS),Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Emory; UK,Emory,Y,,,Y,
"Psalms and hymns for the worship of God, approved by the General Assembly of the Presbyterian Church in the United States, at its meeting in Memphis, Tennessee, November, 1866",?,"Memphis, TN; Richmond, VA",Presbyterian Committee of Publication,,,1867,,,,624,19,,Presbyterian (PCUS),Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
"Psalms, hymns, and spiritual songs : original and selected","Campbell, Alexander","Bethany, VA (now WV); Lexington, KY",A. Campbell,,,1852,,,Revised?,505,12,,Restorationist,Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,UK; SBTS,UK,,,Y,Y,UK copy provenance Lexington Theological Seminary
"Psalms, hymns, and spiritual songs : original and selected","Campbell, A.","Bethany, VA (now WV)",A. Campbell,,,1860,,,5th ed.,511,12,,Restorationist,Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,UK,UK,,,,Y,
"Psalms, hymns, and spiritual songs : original and selected ... with numerous and various additions and emendations; adapted to personal, family and church worship","Campbell, Alexander; Scott, W.; Stone, Barton W.; Johnson, J. T.","Bethany, VA (now WV)",A. Campbell,,,1857,,,5th ed.,511,12,,Restorationist,Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
"Psalms, hymns, and spiritual songs : original and selected, adapted to the Christian religion","Campbell, Alexander",Springfield [state uncertain],?,"G. D. Emerson, stereotyper",,1851,,,5th ed.,"256, 192",12,,Restorationist,Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,Y?,,,,,,,,,Emory,Emory,Y,,,,"My bet would be on Springfield, WV if Campbell was actually involved, but since it's a stereotyped ed. it's very difficult to say"
"Psalms, hymns, and spiritual songs : original and selected... with numerous and various additions and emendations, adapted to personal, family, and church worship","Campbell, A.; Scott, W.; Stone, B. W.; Johnson, J. T.","Bethany, VA (now WV)",A. Campbell,,,1861,,,2nd ed.,511,12,,Restorationist,Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
"Psalms, hymns, and spiritual songs, selected for the use of the United Churches of Christ, commonly called Free Will Baptist, in North Carolina : and for saints of all denominations","Heath, Jesse; Hutchins, Elias","NC; Richmond, VA",Wm. H. Clemmett,,,1856,,,2nd ed.,330,12,,Baptist (Freewill),Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Duke University; University of Mount Olive,OCLC,,,,,
"Revival hymns : designed for protracted, camp, prayer, and social meetings : with a supplement containing hymns for the use of Sabbath schools","Cox, Luther J.; Varden, Josiah; Ridgely, Charles W.","Baltimore, MD",Methodist Protestant Book Rooms,,,1852,,,2nd revised ed.,335,12,,Methodist (Protestant),Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,Emory,Emory,Y,,,,
"Reviving hymns for the new life :  for revivals, prayer meetings, Sunday schools and the family and church services","Howard, Charles M.","Lynchburg, VA",J. P. Bell,,,1878,,,,128,15,,,Nil,English,Sacred,Y,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,Y,,Emory,Emory,Y,,,,
Sabbath school hymnal,?,"Charleston, SC",Kahal Kadosh Beth Elohim?,,,1924,,,,[4],19,,Jewish (Western Sephardi/Reform),Nil,Hebrew; English,Sacred,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,College of Charleston,OCLC,,,,,
Sabbath school hymnal of K.K. Beth Elohim,?,"Charleston, SC",Kahal Kadosh Beth Elohim,,,1917,,,,9,19,,Jewish (Western Sephardi/Reform),Nil,Hebrew; English,Sacred,Y,,,,,,Y,,,,,,,Y,,,Y,,,,,,,,,,Y,,"College of Charleston; Hebrew Union College-JIR, Cincinnati",OCLC,,,,,
"Sabbath school wreath, The : a collection of hymns / compiled by a Sabbath school teacher ; for the benefit of the children in the Confederate States",?,"Raleigh, NC",Spirit of the Age Office,,,1864,,,,94,14,,,Nil,English,Sacred,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,Emory,Emory,Y,,,,
Sacred hymns,?,"Wyaconda, MO (KUK copy provenance)",?,,,1850,Y,,,346 + index,11,7,Latter-Day Saints?,Nil,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,KUK imperfect (loose uncataloged Lair),Lair collection,,,,Y,KUK copy in good shape overall but lacks title page
"Sacred lute, The : a collection of popular hymns","Winkler, E. T.","Charleston, SC",Southern Baptist Publication Society,,,1855,,,,"12, 286",13,,Baptist (SBC),Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Southwestern Baptist Theological Seminary; University of South Carolina; Duke University,OCLC,,,,,
"Sacred melodies : being a collection of spiritual songs, adapted to social and revival meetings...","Baker, William","Chattanooga, TN",?,,,1879,,,,144,13,,,Nil,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Emory,Emory,Y,,,,
Sammlung von geistlichen Liedern : für kirchlichen und häuslichen Gottesdienst,?,"Bremen, Germany",Bischöfl. Methodisten-Kirche,Johann Georg Heyse,,1850,,,From 3rd American ed.,248,18,,Methodist (MEC),Nil,German,Sacred,Y,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,Drew University Library,OCLC,,,,,
Sammlung von geistlichen Liedern : für kirchlichen und häuslichen Gottesdienst,?,"Bremen, Germany",Bischöfl. Methodisten-Kirche,Johann Georg Heyse,,1851,,,From 3rd American ed.,544,13,,Methodist (MEC),Nil,German,Sacred,Y,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,Drew University Library,OCLC,,,,,
Sammlung von geistlichen Liedern : für kirchlichen und häuslichen Gottesdienst : mit Beifügung deutscher und englischer Melodien,"Nast, Wilhelm; Schmucker, Peter","Cincinnati, OH",Bischöfl. Methodisten-Kirche,Swormstedt & Poe,,1858,,,3rd stereotyped ed.,512,13,,Methodist (MEC),Nil,German,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Duke University,OCLC,,,,,
Sammlung von geistlichen Liedern : für kirchlichen und häuslichen Gottesdienst : mit Beifügung deutscher und englischer Melodien,"Schmucker, P.; Nast, Wilhelm","Cincinnati, OH",Bischöfl. Methodisten-Kirche,Poe & Hitchcock,,1861,,,,512,17,,Methodist (MEC),Nil,German,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Brown University,OCLC,,,,,
Sammlung von geistlichen Liedern : für kirchlichen und häuslichen Gottesdienst : mit Beifügung deutscher und englischer Melodien,"Schmucker, P.; Nast, Wilhelm","Cincinnati, OH",Bischöfl. Methodisten-Kirche,Poe & Hitchcock,,1861,,,3rd stereotyped ed.,"512, 160",17,,Methodist (MEC),Nil,German,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Ohio Wesleyan University,OCLC,,,,,
Schul-Gesangbuch : zum Gebrauch für ev.- luth. Gemeinde - Schulen,?,"St. Louis, MO",Lutherischer Concordia-Verlag,,,1885,,,,225,18,,Lutheran (Missouri Synod),Nil,German,Mixed?,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,Martin Luther College,OCLC,,,,,
Select hymns with their translations in the Delaware language on the opposite page,"Peery, Edward T.","Stockbridge, KS?",Indian Manual Labor School,,,1846,,,,84,17,,,Nil,Munsee,Sacred,,,Y,,,,,,,,,,,,Y,Y,Y,,,Y,,,,,,,,,Brigham Young University,OCLC,,,,,Not certain how to classify this regionally--the Lenape relocated from KS to IT shortly afterwards
"Select melodies : comprising the best hymns and spiritual songs in common use, and not generally found in standard church hymn-books : as also a number of original pieces, and translations from the German","Hunter, William","Cincinnati, OH",?,Printed at the Methodist Book Concern,,1856,,,,384,13,,Methodist (MEC),Nil,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,SBTS,SBTS,,,Y,,
Selected hymns for social worship,?,"Wilmington, DE",J. Miller Thomas,,,1891,,,,96,15,,,Nil,English,Sacred,Y,,,,,,,,,,,,,,,,,,,Y?,,,,,,,,,Emory,Emory,Y,,,,
"Selected songs : dedicated to the Puget Sound, California, Oklahoma, and Louisiana Conferences which I am now serving ; to the Texas and Mississippi Conferences which I have served and to all whom I may serve in the future, of the African Methodist Episcopal Church","Johnson, William Decker",CA; OK; LA; TX; MS,?,,,?,,,,64,22,,Methodist (AME),Nil,English,Sacred,Y?,,,,,,Y?,,,,,,,,,,Y,,,,,,,,,,,,Emory,Emory,Y,,,,Johnson died in 1935; more research needed to figure out when this would have been published; this fellow was Francis Hall Johnson's father and seems to have been in TX around 1921
"Selections from the Psalms of David in metre : with hymns suited to the feasts and fasts of the church, and other occasions of public worship",?,"Richmond, VA",J. W. Randolph,,,1863,,,,235,10,,Episcopalian (PECCSA),Nil,English,Sacred,Y,,,,Y,,Y,,,,,,,Y,,,,,,,,,,,,,,,Duke University Libraries; New York Public Library System; Boston Athenaeum,OCLC,,,,,
"Selections from the Psalms of David in metre; with hymns suited to the feasts and fasts of the church, and other occasions of public worship",?,"Richmond, VA",J. W. Randolph,,,1863,,,,271,15,,Episcopalian (PECCSA),Nil,English,Sacred,Y,,,,Y,,Y,,,,,,,Y,,,,,,,,,,,,,,,Andrews University; University of Michigan; University of Virginia; Cornell University; Yale University,OCLC,,,,,
Service in song : a carefully selected collection of standard hymns set to familiar tunes especially adapted to congregational worship,"Biddle, Arthur Colyar","Nashville, TN",Cumberland Presbyterian Publishing House,,,?,Y,,,112,20,,Presbyterian (Cumberland),Nil,English,Sacred,?,Y?,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,Research needed to determine likely date
Simple rhymes and familiar conversations for children,"Mallary, Charles D.","Charleston, SC",Southern Baptist Publication Society,,,1851,,,,88,17,,Baptist (SBC),Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,University of Georgia; University of South Carolina; Library of Congress,OCLC,,,,,
Sioux Indian prayer and hymn book,?,"Cincinnati, OH",,Printed by J. Berning Print Co.,,1918,Y,,,184,16,,Catholic (Roman rite),Nil,Dakota,Sacred,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Saint Louis University; Newberry Library; Marquette University; New York Public Library System; Columbia University; Minnesota Historical Society; Yale University; Princeton Theological Seminary;University of Oklahoma; Augustana University,OCLC,,,,,
Soldier's hymn-book : for camp worship,?,"Richmond, VA?","Soldiers' Tract Association, M.E. Church, South","Chas. H. Wynne, Printer",,1864,,,63rd thousand,64,12,,"Methodist (MEC,S)",Nil,English,Sacred,Y,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,Y,Western Reserve Historical Society; Library of Virginia; Boston Athenaeum,OCLC,,,,,
"Soldier's hymn-book, for camp worship, The",?,"Richmond, VA?","Soldiers' Tract Society, Virginia Conference, M.E. Church, South","Chas. H. Wynne, printer",,1862,,,,64,9,,"Methodist (MEC,S)",Nil,English,Sacred,Y,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,Y,Emory,Emory,Y,,,,
"Soldier's hymn-book, for camp worship, The",?,"Richmond, VA?","Soldiers' Tract Society, Virginia Conference, M.E. Church, South","Macfarlane & Fergusson, printers",,1863,,,,64,11,,"Methodist (MEC,S)",Nil,English,Sacred,Y,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,Y,Emory,Emory,Y,,,,
"Soldier's hymn-book, for camp worship, The",?,"Richmond, VA","Soldiers' Tract Association, M.E. Church, South",Printed by Charles H. Wynne,,1863,,,,64,10,,"Methodist (MEC,S)",Nil,English,Sacred,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,Western Reserve Historical Society; University of North Carolina at Chapel Hill; Library of Virginia; Brown University; Boston Athenaeum,OCLC,,,,,
"Soldier's hymn-book, The",?,"Charleston, SC",South Carolina Tract Society,Evans & Cogswell,,1863,,,,256,11,,,Nil,English,Sacred,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,MTSU; Emory,MTSU (local),Y,Y,,,
"Soldier's manual of devotion, or, Book of common prayer, The : containing a form of public worship, with responses, additional prayers, a psalter, scripture lessons, articles of religion, and a collection of hymns and national songs","Forman, G. J.","St. Louis, MO; Alton, IL",Stereotyped and printed by A. Wiebusch & Son,,,1863,,,"2nd ed., stereotyped",224,13,,Episcopalian?,Nil,English,Sacred,Y,,,,Y?,,,,,,,,,,,,,,,,,,,,,,,Y,Emory,Emory,Y,,,,Emory seems to have both physical and microform copy
"Song sermons, or, The songs I love to sing","Watson, B. F.",?,?,,,188?,Y,,,16,16,,Methodist (AME),Nil,English,Sacred,Y,,,,,,,,,,,,,,Y?,,Y,,,,,,,,,,,,Emory,Emory,Y,,,,
"Songs for the General Missionary Conference, Tulane Hall, April 24-30, 1901",?,"New Orleans, LA",?,,,1901,Y,,,40,?,,,Nil,English,Sacred,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,IXA,OCLC,,,,,"Hymns from other books, chiefly from two editions of Young people's hymnal"
"Songs of Zion : a supplement to the hymn book of the Methodist Episcopal Church, South","Summers, Thomas O.","Richmond, VA","Methodist Episcopal Church, South",John Early,,1851,,,,384,13,,"Methodist (MEC,S)",Nil,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Emory,Emory,Y,,,,
Songs of Zion : for revivals and social worship,"Robinson, G. O.","Charleston, SC",George Parks & Co.,,,1851,,,,"104, 4",15,,,Nil,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,SBTS,SBTS,,,Y,,
